FCN-Average-Accuracy,CNN-Average-Accuracy,GRU-Average-Accuracy,LSTM-Average-Accuracy,Ensemble-Average-Accuracy
81.1575,79.5037,59.7889,64.84433,78.7292
84.0153,81.9944,59.8085,54.80309,84.1071
85.0740,84.4300,67.5263,74.96133,86.2446
86.9934,83.9477,79.3097,73.69219,88.1286
87.2748,85.5009,73.6286,72.48953,88.5793
88.2188,85.6333,79.1836,78.96888,89.4482
88.1415,86.8195,81.0591,80.34524,89.9860
88.4861,87.3863,78.2315,82.10295,89.8868
88.2822,86.1732,76.6296,84.32454,90.3089
88.8961,86.7912,79.9510,78.60949,88.7368
88.6268,88.0809,86.0158,76.06732,90.4699
88.4620,88.7342,86.7209,83.90549,91.7400
89.0544,87.1695,86.5835,82.96893,91.5719
88.2685,88.3083,85.4975,84.46588,91.9097
88.1689,88.4704,86.7308,86.14361,91.8066
88.9789,88.7159,86.3169,85.18613,91.9326
88.8019,89.0422,88.3918,86.40263,92.0236
88.7448,88.4283,88.1706,83.50339,91.8601
88.5924,88.3758,90.7408,87.03493,91.9012
88.6018,88.6580,89.6184,80.55521,91.6478
88.4167,88.7491,90.4210,84.12196,92.1317
88.3140,88.7848,90.6709,87.79832,91.5256
88.6025,88.7063,88.7809,88.20258,92.0953
87.7319,88.7568,90.2648,89.21908,92.2414
88.4803,88.8949,91.6955,89.13825,91.9175
88.9595,88.5420,89.4562,88.26779,92.0268
88.4545,88.5978,88.7266,88.84512,91.5665
88.8983,88.6268,92.3974,88.22238,92.0371
88.9541,88.7908,90.0401,90.40047,92.0492
88.4813,88.7286,89.4304,89.95924,91.9201
88.9786,88.8242,90.8147,89.81474,92.0127
88.6119,88.6406,90.8981,90.7919,92.2239
88.7450,88.8294,90.7168,89.26137,92.0737
88.8565,88.8015,90.3535,90.96645,92.0177
88.6089,88.6557,91.9813,89.29099,91.7283
88.6506,88.6932,87.8187,91.20319,91.9113
88.5916,88.9206,90.7507,89.94493,92.2454
88.5304,88.8520,90.8183,91.2968,91.8537
88.6604,88.4927,92.3764,89.56855,92.0472
88.4706,88.7435,91.9074,91.87387,91.8145
89.1184,88.8230,89.7120,90.69375,92.1262
88.6612,88.3238,90.1410,91.33624,91.9976
88.6816,88.5324,91.2755,90.42459,92.0526
88.5507,88.7212,90.9657,90.19535,92.0558
88.7043,88.5034,90.5151,90.6672,91.7028
88.7709,88.8453,91.3098,91.31486,91.4157
88.3249,88.6137,90.3932,91.21665,92.2665
88.2571,88.5001,90.9497,91.5063,91.8193
88.7450,88.5730,90.7424,91.3809,91.6245
88.4008,88.4935,91.6728,89.23857,91.5874
